State_Name,State_District_Name,DD_Person_Total,YY_Infant_Mortality_Rate_Imr_Total_Person,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Total,BB_Population_Below_Age_15_Years_Total,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,XX_Women_Who_Are_Aware_Of_Hiv_Aids_Total
Assam,Barpeta,78.6,43,22.5,32.1,62.1,64.8
Assam,Bongaigaon,79.3,48,21.6,32,52.4,63.7
Assam,Cachar,85.3,53,27.8,32.1,64.5,73.1
Assam,Darrang,73.9,70,25.2,32.1,56.4,77.9
Assam,Dhemaji,81.6,37,14.5,32.7,66.6,83.5
Assam,Dhubri,77.9,69,16.5,35.5,48.7,51
Assam,Dibrugarh,81.7,51,31.6,27.5,82.3,91.3
Assam,Goalpara,83,53,18.4,34.4,46.6,73.3
Assam,Golaghat,81.4,56,24.7,29.1,69.4,83.9
Assam,Hailakandi,85.8,52,28.2,35.6,67.1,94.8
Assam,Jorhat,84.8,50,22.5,26.2,70.9,82.4
Assam,Kamrup,87.5,39,23.9,24.9,64.6,86.8
Assam,Karbi Anglong,85,60,23.4,31.5,71.8,77.8
Assam,Karimganj,84,65,29.1,34.6,65.4,68.2
Assam,Kokrajhar,72.9,74,24.5,33.4,59.2,74.3
Assam,Lakhimpur,84.6,48,12,31,64.2,78.5
Assam,Marigaon,83.6,63,21.8,33.2,66.2,80.4
Assam,Nagaon,81.2,62,23.7,32.4,52.5,70.1
Assam,Nalbari,85.8,58,27.3,26.1,68,84
Assam,North Cachar Hills,91.6,54,26.1,30.2,56.2,82.2
Assam,Sibsagar,83.8,56,23.5,26.4,83.5,94.9
Assam,Sonitpur,76.7,61,19.9,31,70.5,69.6
Assam,Tinsukia,74.3,50,26.3,30.1,79,82.8
Bihar,Araria,63.5,52,9.8,41.8,59.9,88.5
Bihar,Aurangabad,73,40,20.1,39.2,78.6,82.2
Bihar,Banka,66.2,44,21,39.1,65.7,50.6
Bihar,Begusarai,72.9,40,27.5,39.5,65.2,63.2
Bihar,Bhagalpur,72.2,49,19,38,68,54.4
Bihar,Bhojpur,75.8,41,18.4,37.1,67.9,76.6
Bihar,Buxar,74.6,48,17.8,37,67.8,56.3
Bihar,Darbhanga,62.9,44,23.9,39.3,68.9,81
Bihar,Gaya,70.9,49,23.4,38.9,69.3,61.7
Bihar,Gopalganj,70,46,15.3,36.2,74.8,89.9
Bihar,Jamui,63.5,51,19.7,40.5,50,72.1
Bihar,Jehanabad,71.3,47,18.2,39.4,79.1,78.8
Bihar,Kaimur (Bhabua),76,48,20.5,38.9,69.1,58.7
Bihar,Katihar,61.5,52,22.6,42.1,69.3,85.5
Bihar,Khagaria,69,59,19.5,41,84.8,91.3
Bihar,Kishanganj,62.6,56,28.1,43.6,32.2,65.5
Bihar,Lakhisarai,69.5,45,20.9,38.3,67.3,66
Bihar,Madhepura,65.6,64,27.2,40.7,80.2,52.8
Bihar,Madhubani,63.1,48,22.3,38.1,87.8,82.9
Bihar,Munger,75.6,43,19.3,35.6,74.4,64.7
Bihar,Muzaffarpur,68.5,55,26.8,37,64.2,83.8
Bihar,Nalanda,69,47,23.7,39,74.8,77.2
Bihar,Nawada,64.6,46,21.7,39.2,73.1,64
Bihar,Pashchim Champaran,63,48,21.4,41.5,53.9,87.5
Bihar,Patna,78.7,31,20.1,34.5,76,82.4
Bihar,Purba Champaran,63.4,48,31,41.3,44,86.1
Bihar,Purnia,60.6,53,39.8,41.7,80.9,65.4
Bihar,Rohtas,76.6,44,18,37.1,70.4,59.8
Bihar,Saharsa,66.9,55,17.8,41.3,74.8,60.6
Bihar,Samastipur,66.5,49,18,38.6,84.3,88.2
Bihar,Saran,72.2,49,28,37.1,79.7,89.1
Bihar,Sheikhpura,69.3,51,24.2,39.4,78.2,67.5
Bihar,Sheohar,61.9,43,43.9,41.9,69.1,82.5
Bihar,Sitamarhi,63.1,60,6.8,40.5,69.6,91.6
Bihar,Siwan,74.1,43,28.1,36,76.6,86.9
Bihar,Supaul,65.9,58,12.5,40.9,72.6,53.4
Bihar,Vaishali,72.3,40,16.7,36.8,76.5,93.7
Chhattisgarh,Bastar,66.26,39.56,5.42,30.26,82.52,74.71
Chhattisgarh,Bilaspur,78.82,38.39,13.77,30.8,68.89,91.07
Chhattisgarh,Dantewada,52.3,43.99,18.59,33.17,66.05,56.28
Chhattisgarh,Dhamtari,84.32,47.2,16.03,28.91,88.92,91.41
Chhattisgarh,Durg,83.47,34.93,11.97,27.98,86.79,96.91
Chhattisgarh,Janjgir-Champa,77.12,46.14,12.84,30.39,75.7,94.66
Chhattisgarh,Jashpur,71.35,56.17,16.27,30.96,61.37,68.15
Chhattisgarh,Kanker,81.42,45.72,7.19,26.6,90.04,93.85
Chhattisgarh,Kawardha,72.25,57.25,7.63,34.55,71.8,80.24
Chhattisgarh,Korba,79.71,48.14,14.92,29.92,63.13,91.11
Chhattisgarh,Koriya,74.82,51.82,17.67,29.33,76.02,80.5
Chhattisgarh,Mahasamund,76.04,57.25,11.2,29.45,81.77,92.16
Chhattisgarh,Raigarh,75.8,55,8.58,28.52,72.94,81.85
Chhattisgarh,Raipur,78.57,44.98,17.28,31.3,80.26,99.88
Chhattisgarh,Rajnandgaon,81.7,48.78,14.68,29.85,83,89.47
Chhattisgarh,Surguja,68.69,50.46,14.87,33.67,59.09,71.66
Jharkhand,Bokaro,79,28,30.3,30.4,82.5,91.7
Jharkhand,Chatra,69.9,42,20.4,37.6,61.4,61.9
Jharkhand,Deoghar,72,31,28.4,35.8,56.3,50.6
Jharkhand,Dhanbad,79.4,26,32.6,31.2,69.3,60.1
Jharkhand,Dumka,66.7,45,33.5,33.9,72.7,34.1
Jharkhand,Garhwa,67.4,33,20.7,37,65.7,58.5
Jharkhand,Giridih,69.2,28,24.9,37.9,46.5,63.8
Jharkhand,Godda,63.3,54,29.8,37.1,55.9,57.8
Jharkhand,Gumla,70.9,45,32.5,35,80.8,55.1
Jharkhand,Hazaribagh,76.5,29,22.9,33.3,70.6,80.2
Jharkhand,Kodarma,73.9,27,25.5,36.5,61.8,73.5
Jharkhand,Lohardaga,74,53,38,36.1,88.1,54.8
Jharkhand,Pakaur,59.3,52,29.1,37.6,47.6,54.5
Jharkhand,Palamu,69.4,40,21.7,37,64.5,61.3
Jharkhand,Pashchimi Singhbhum,67.6,53,23.3,33.6,74.5,58.6
Jharkhand,Purbi Singhbhum,78.7,25,25.6,27.4,85,78.2
Jharkhand,Ranchi,82.3,30,31.5,31.7,81.5,76.5
Jharkhand,Sahibganj,63.5,52,25.8,36.8,57.9,59.1
Madhya Pradesh,Balaghat,82.8,58.78,32.1,27.4,82.5,73.4
Madhya Pradesh,Barwani,60.6,65.66,16.2,36.9,68.3,65.3
Madhya Pradesh,Betul,81.5,60.8,26.6,28,64.7,74.6
Madhya Pradesh,Bhind,77.9,54.14,25.8,31.1,71.3,70.6
Madhya Pradesh,Bhopal,91.1,47.57,11.6,27,71.9,92.3
Madhya Pradesh,Chhatarpur,72.6,63.16,35.1,34.7,43.5,63.6
Madhya Pradesh,Chhindwara,79.4,69.02,29.3,26.4,62.2,70.9
Madhya Pradesh,Damoh,75.8,70.58,20.6,32.2,42.4,53.4
Madhya Pradesh,Datia,78.7,73.26,28.1,29.6,63.5,81.9
Madhya Pradesh,Dewas,75.9,55.63,25.5,31,74.1,75.8
